description,disease
"skin hives, runny nose, sneezing and itchy eyes, nasal congestion",Allergy
"runny nose, sneezing and itchy eyes, nasal congestion",Allergy
"diarrhea, dehydration, vomiting",Gastroenteritis
"frequent urge to urinate, lower abdominal pain, painful urination, cloudy urine",UTI
"dehydration, diarrhea, vomiting, abdominal cramps",Gastroenteritis
"loss of appetite, headache, fever for 1 days, weakness and fatigue",Typhoid
"dehydration, abdominal cramps",Gastroenteritis
"itchy skin with redness, burning sensation",Fungal Infection
"diarrhea, vomiting, abdominal cramps, dehydration",Gastroenteritis
"burning sensation, itchy skin with redness, rash",Fungal Infection
"throbbing headache, sensitivity to light, nausea, visual disturbances",Migraine
"headache, weakness and fatigue, loss of appetite, fever for 3 days",Typhoid
"difficulty swallowing, acid reflux",GERD
"body aches, nausea, high fever with chills",Malaria
"abdominal cramps, vomiting, dehydration, diarrhea",Gastroenteritis
"high fever with chills, sweating, body aches, nausea",Malaria
"frequent urge to urinate, lower abdominal pain, painful urination, cloudy urine",UTI
"body aches, nausea, high fever with chills, sweating",Malaria
"lower abdominal pain, frequent urge to urinate, painful urination, cloudy urine",UTI
"itchy skin with redness, rash",Fungal Infection
"sneezing and runny nose, sore throat, cough, nasal congestion",Common Cold
"diarrhea, abdominal cramps",Gastroenteritis
"cloudy urine, lower abdominal pain, painful urination",UTI
"abdominal cramps, diarrhea, vomiting",Gastroenteritis
"skin hives, nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"abdominal cramps, dehydration",Gastroenteritis
"acid reflux, heartburn after meals, difficulty swallowing",GERD
"frequent urge to urinate, painful urination, cloudy urine",UTI
"nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"heartburn after meals, difficulty swallowing",GERD
"sore throat, cough",Common Cold
"sneezing and itchy eyes, nasal congestion, runny nose, skin hives",Allergy
"loss of appetite, fever for 3 days, headache",Typhoid
"acid reflux, chest pain, heartburn after meals, difficulty swallowing",GERD
"runny nose, sneezing and itchy eyes, nasal congestion, skin hives",Allergy
"sensitivity to light, nausea",Migraine
"lower abdominal pain, painful urination, cloudy urine",UTI
"itchy skin with redness, rash",Fungal Infection
"sneezing and itchy eyes, skin hives, nasal congestion, runny nose",Allergy
"lower abdominal pain, painful urination",UTI
"itchy blister rash, fever and tiredness",Chickenpox
"difficulty swallowing, acid reflux",GERD
"diarrhea, vomiting",Gastroenteritis
"sore throat, nasal congestion",Common Cold
"throbbing headache, nausea, sensitivity to light, visual disturbances",Migraine
"burning sensation, flaky patches, rash",Fungal Infection
"cough, sneezing and runny nose, sore throat, nasal congestion",Common Cold
"weakness and fatigue, loss of appetite, headache, fever for 2 days",Typhoid
"high fever with chills, sweating, body aches, nausea",Malaria
"cloudy urine, painful urination",UTI
"body aches, sweating, nausea",Malaria
"sensitivity to light, nausea, throbbing headache, visual disturbances",Migraine
"cloudy urine, lower abdominal pain, frequent urge to urinate",UTI
"high fever with chills, sweating, body aches, nausea",Malaria
"frequent urge to urinate, painful urination",UTI
"high fever with chills, nausea, sweating",Malaria
"high fever with chills, sweating, nausea, body aches",Malaria
"runny nose, sneezing and itchy eyes",Allergy
"nasal congestion, cough",Common Cold
"throbbing headache, visual disturbances, sensitivity to light",Migraine
"nausea, high fever with chills, sweating",Malaria
"rash, flaky patches, itchy skin with redness, burning sensation",Fungal Infection
"flaky patches, itchy skin with redness, burning sensation, rash",Fungal Infection
"visual disturbances, nausea, sensitivity to light, throbbing headache",Migraine
"throbbing headache, visual disturbances",Migraine
"sweating, high fever with chills",Malaria
"lower abdominal pain, painful urination, frequent urge to urinate",UTI
"abdominal cramps, dehydration, diarrhea",Gastroenteritis
"headache, fever for 3 days",Typhoid
"high fever with chills, body aches, sweating, nausea",Malaria
"chest pain, acid reflux, heartburn after meals",GERD
"frequent urge to urinate, cloudy urine, lower abdominal pain, painful urination",UTI
"cloudy urine, lower abdominal pain",UTI
"loss of appetite, fever and tiredness",Chickenpox
"nausea, sweating",Malaria
"dehydration, diarrhea, abdominal cramps",Gastroenteritis
"loss of appetite, fever for 2 days, weakness and fatigue",Typhoid
"diarrhea, abdominal cramps",Gastroenteritis
"headache, loss of appetite",Typhoid
"nausea, high fever with chills, sweating",Malaria
"difficulty swallowing, chest pain, acid reflux",GERD
"sneezing and itchy eyes, nasal congestion, skin hives, runny nose",Allergy
"sore throat, sneezing and runny nose, cough, nasal congestion",Common Cold
"cloudy urine, lower abdominal pain, frequent urge to urinate",UTI
"flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"painful urination, cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"fever for 3 days, loss of appetite, weakness and fatigue",Typhoid
"skin hives, sneezing and itchy eyes, nasal congestion",Allergy
"flaky patches, itchy skin with redness",Fungal Infection
"sensitivity to light, nausea",Migraine
"sensitivity to light, visual disturbances, throbbing headache",Migraine
"vomiting, dehydration, abdominal cramps, diarrhea",Gastroenteritis
"nausea, body aches, sweating, high fever with chills",Malaria
"skin hives, sneezing and itchy eyes",Allergy
"abdominal cramps, dehydration, vomiting",Gastroenteritis
"sneezing and runny nose, cough, sore throat",Common Cold
"weakness and fatigue, fever for 4 days, headache, loss of appetite",Typhoid
"abdominal cramps, diarrhea, dehydration",Gastroenteritis
"fever for 3 days, headache",Typhoid
"acid reflux, chest pain",GERD
"itchy blister rash, headache, loss of appetite, fever and tiredness",Chickenpox
"abdominal cramps, diarrhea, vomiting, dehydration",Gastroenteritis
"fever and tiredness, loss of appetite",Chickenpox
"visual disturbances, sensitivity to light",Migraine
"nausea, high fever with chills, body aches",Malaria
"lower abdominal pain, painful urination",UTI
"nausea, sensitivity to light, throbbing headache",Migraine
"high fever with chills, body aches, nausea, sweating",Malaria
"body aches, nausea",Malaria
"high fever with chills, sweating, body aches",Malaria
"body aches, sweating, nausea",Malaria
"painful urination, cloudy urine, lower abdominal pain, frequent urge to urinate",UTI
"difficulty swallowing, chest pain, heartburn after meals, acid reflux",GERD
"runny nose, skin hives, sneezing and itchy eyes, nasal congestion",Allergy
"sore throat, nasal congestion, cough",Common Cold
"burning sensation, itchy skin with redness",Fungal Infection
"throbbing headache, visual disturbances, nausea",Migraine
"loss of appetite, fever and tiredness, itchy blister rash, headache",Chickenpox
"visual disturbances, sensitivity to light, throbbing headache",Migraine
"skin hives, sneezing and itchy eyes, runny nose, nasal congestion",Allergy
"rash, flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"painful urination, frequent urge to urinate, lower abdominal pain",UTI
"headache, loss of appetite, fever and tiredness",Chickenpox
"skin hives, runny nose, nasal congestion, sneezing and itchy eyes",Allergy
"sneezing and itchy eyes, skin hives, nasal congestion, runny nose",Allergy
"dehydration, vomiting, diarrhea, abdominal cramps",Gastroenteritis
"flaky patches, burning sensation",Fungal Infection
"fever and tiredness, itchy blister rash, headache, loss of appetite",Chickenpox
"skin hives, runny nose",Allergy
"painful urination, cloudy urine, lower abdominal pain, frequent urge to urinate",UTI
"fever and tiredness, headache, itchy blister rash, loss of appetite",Chickenpox
"visual disturbances, nausea, sensitivity to light",Migraine
"runny nose, nasal congestion",Allergy
"flaky patches, itchy skin with redness, burning sensation",Fungal Infection
"vomiting, dehydration, abdominal cramps, diarrhea",Gastroenteritis
"flaky patches, itchy skin with redness, burning sensation",Fungal Infection
"itchy blister rash, fever and tiredness, loss of appetite, headache",Chickenpox
"cloudy urine, lower abdominal pain",UTI
"fever for 3 days, loss of appetite",Typhoid
"chest pain, heartburn after meals",GERD
"itchy blister rash, headache, loss of appetite",Chickenpox
"headache, itchy blister rash",Chickenpox
"body aches, high fever with chills",Malaria
"cough, nasal congestion, sore throat",Common Cold
"visual disturbances, sensitivity to light, throbbing headache, nausea",Migraine
"fever and tiredness, itchy blister rash",Chickenpox
"nausea, throbbing headache",Migraine
"acid reflux, heartburn after meals",GERD
"frequent urge to urinate, cloudy urine",UTI
"burning sensation, itchy skin with redness, flaky patches, rash",Fungal Infection
"diarrhea, dehydration, abdominal cramps, vomiting",Gastroenteritis
"abdominal cramps, vomiting, diarrhea",Gastroenteritis
"sneezing and itchy eyes, nasal congestion, runny nose, skin hives",Allergy
"headache, loss of appetite, itchy blister rash, fever and tiredness",Chickenpox
"weakness and fatigue, fever for 2 days",Typhoid
"throbbing headache, nausea, sensitivity to light",Migraine
"loss of appetite, fever for 5 days",Typhoid
"frequent urge to urinate, painful urination",UTI
"frequent urge to urinate, cloudy urine, painful urination",UTI
"lower abdominal pain, painful urination, cloudy urine",UTI
"sensitivity to light, nausea",Migraine
"body aches, nausea, sweating, high fever with chills",Malaria
"chest pain, acid reflux",GERD
"skin hives, runny nose, sneezing and itchy eyes, nasal congestion",Allergy
"abdominal cramps, dehydration, vomiting",Gastroenteritis
"skin hives, sneezing and itchy eyes",Allergy
"loss of appetite, headache",Typhoid
"sore throat, nasal congestion, sneezing and runny nose, cough",Common Cold
"fever for 1 days, loss of appetite",Typhoid
"nasal congestion, sneezing and runny nose, cough",Common Cold
"sensitivity to light, visual disturbances, nausea, throbbing headache",Migraine
"sneezing and runny nose, sore throat, cough, nasal congestion",Common Cold
"loss of appetite, fever and tiredness",Chickenpox
"weakness and fatigue, loss of appetite, headache, fever for 3 days",Typhoid
"acid reflux, chest pain, heartburn after meals, difficulty swallowing",GERD
"nasal congestion, skin hives, runny nose",Allergy
"sore throat, sneezing and runny nose",Common Cold
"dehydration, diarrhea, abdominal cramps, vomiting",Gastroenteritis
"sneezing and itchy eyes, nasal congestion",Allergy
"cloudy urine, frequent urge to urinate, painful urination, lower abdominal pain",UTI
"nasal congestion, cough, sore throat, sneezing and runny nose",Common Cold
"burning sensation, flaky patches",Fungal Infection
"lower abdominal pain, frequent urge to urinate",UTI
"skin hives, runny nose",Allergy
"nasal congestion, cough, sneezing and runny nose",Common Cold
"rash, itchy skin with redness",Fungal Infection
"sneezing and runny nose, cough",Common Cold
"runny nose, skin hives, sneezing and itchy eyes, nasal congestion",Allergy
"sneezing and runny nose, cough",Common Cold
"cough, sneezing and runny nose, nasal congestion",Common Cold
"weakness and fatigue, loss of appetite, headache, fever for 4 days",Typhoid
"throbbing headache, nausea, visual disturbances, sensitivity to light",Migraine
"nasal congestion, runny nose, skin hives",Allergy
"sweating, body aches, high fever with chills",Malaria
"chest pain, difficulty swallowing",GERD
"sensitivity to light, throbbing headache, nausea, visual disturbances",Migraine
"sensitivity to light, nausea, visual disturbances, throbbing headache",Migraine
"fever and tiredness, headache, loss of appetite",Chickenpox
"sweating, body aches",Malaria
"sensitivity to light, visual disturbances, throbbing headache",Migraine
"sneezing and runny nose, nasal congestion, sore throat, cough",Common Cold
"skin hives, nasal congestion",Allergy
"burning sensation, itchy skin with redness, flaky patches",Fungal Infection
"nasal congestion, sneezing and runny nose, cough, sore throat",Common Cold
"throbbing headache, visual disturbances, sensitivity to light",Migraine
"weakness and fatigue, headache, loss of appetite, fever for 4 days",Typhoid
"vomiting, dehydration, diarrhea",Gastroenteritis
"difficulty swallowing, heartburn after meals, acid reflux, chest pain",GERD
"sneezing and runny nose, cough",Common Cold
"cloudy urine, frequent urge to urinate, painful urination, lower abdominal pain",UTI
"nausea, sweating",Malaria
"skin hives, nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"skin hives, sneezing and itchy eyes",Allergy
"body aches, sweating, high fever with chills",Malaria
"chest pain, difficulty swallowing, heartburn after meals",GERD
